title,address,commune,commune_encoded,district,district_encoded,province,province_encoded,paper,price_by_area,latitude,longitude
Bán Gấp Cắt Lỗ 2PN 55m² Vinhomes SmartCity 1.77 Tỷ,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,32181818.0,21.0095457,105.7439913
"Căn hộ 1PN+1 full đồ S2.08 bên VHOP 1,3 tỷ BP","Đường Quốc Lộ 5, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,145,Huyện Gia Lâm,2,Hà Nội,0,1,30303030.0,21.0164183,105.9448441
Bán suất ngoại giao CĐT 120 Định Công T&T,"120, Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",Phường Định Công,136,Quận Hoàng Mai,18,Hà Nội,0,0,34375000.0,20.9744979,105.8357355
MỞ BÁN CHUNG CƯ HỒ TÙNG MẬU 30-50M2 TỪ 550TR/CĂN,"Đường Hồ Tùng Mậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,14,Quận Cầu Giấy,15,Hà Nội,0,1,11000000.0,21.0367659,105.7799828
"cc Yên hòa Thăng Long 81m2,2 ngủ đẹp như ảnh, view","Đường Mạc Thái Tổ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Phường Yên Hoà,126,Quận Cầu Giấy,15,Hà Nội,0,0,30864198.0,21.0165579,105.788647
Tôi cần bán chung cư Hồ Gươm Plaza 76m² 2PN!,"Số 102-104, Số 102-104 Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Phường Mộ Lao,47,Quận Hà Đông,19,Hà Nội,0,1,26052632.0,20.9791557,105.7855763
Bán nhanh căn góc hướng Đông Nam + Đông Bắc 63m2,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,1,38380952.0,21.0095457,105.7439913
Căn 3PN 103m2 Romanplaza tầng cao cực mát view đep,"Đường Tố Hữu, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,135,Quận Nam Từ Liêm,21,Hà Nội,0,1,34951456.0,20.9898009,105.7615252
Chung cư mini Quận Đống Đa 45m² 2PN-2WC,"Đường Thái Thịnh 2, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Phường Láng Hạ,38,Quận Đống Đa,24,Hà Nội,0,0,24888889.0,21.0139664,105.8148763
Chung cư Chung cư Eco Lake View 75m² 2PN,"số 32, số 32 Đường Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Phường Đại Kim,134,Quận Hoàng Mai,18,Hà Nội,0,0,32667.0,20.973143,105.8358879
Ảnh thật e báo giá thật cho anh chị dễ làm việc,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,1,36363636.0,21.0095457,105.7439913
Chính chủ cần bán căn góc 6 toà cũ cực đẹp,"đường Lê Trọng Tấn, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Phường Kiến Hưng,33,Quận Hà Đông,19,Hà Nội,0,0,17763158.0,20.977862,105.7465724
Bán nhanh căn hộ 3N Vinhomes Smart City,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,39333333.0,21.0095457,105.7439913
Bán chung cư cao cấp Vinhomes Smart City Tây Mỗ,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,35581395.0,21.0095457,105.7439913
Chung cư Quận Hà Đông 87.6m² 2PN ban công sân vườn,"đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Phường La Khê,34,Quận Hà Đông,19,Hà Nội,0,0,25753425.0,20.9903367,105.7827237
CC Bán căn góc tháp B1 Twin Tower HUD2 Linh Đàm,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,1,30208333.0,20.9599379,105.8337546
Bán căn góc 2 ngủ nhà mới chung cư mipec kiến hưng,"Đường Phúc La, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Phường Vạn Phúc,121,Quận Hà Đông,19,Hà Nội,0,0,24399261.0,20.9590566,105.790772
